NAME,N,E,ELEVATION
70X21,26080.376,443854.964,1247.613
70X22,33174.464,443818.138,1250.576
71X12,29833.312,446108.502,1314.288
71X13,37659.658,444314.349,1289.424
71X14,41694.106,444997.645,1312.141
71X15,46729.135,447327.211,1243.514
71X16,41262.176,449701.685,1288.294
71X17,39897.887,453215.744,1237.783
71X18,31272.38,448123.598,1313.271
71X19,25404.85,451005.007,1309.219
71X21,36886.967,449338.149,1283.02
71X22,23298.439,446701.627,1304.537
71X23,24435.786,454708.999,1294.331
71X24,29661.744,452881.188,1274.209
71X25,28502.145,456961.161,1313.241
71X26,38585.808,455809.65,1315.394
71X27,45867.804,452264.592,1214.23
71X28,41343.64,456300.85,1278.256
71X29,43959.544,459733.953,1211.465
71X30,39525.531,461718.213,1210.538
71X31,35094.944,460162.547,1281.399
71X32,33839.49,455879.162,1229.319
71X33,26994.135,471773.269,1298.193
71X34,25081.388,461147.944,1255.921
71X35,32601.732,461946.727,1156.611
71X37,35162.799,464183.307,1173.353
71X38,29197.014,465014.494,1185.602
71X39,39057.225,469270.065,1305.293
71X40,42699.099,466624.222,1203.574
71X41,45406.652,465449.207,1261.774
71X42,43262.896,472431.431,1224.959
71X43,39271.583,466951.125,1236.674
71X44,24153.614,465408.285,1277.911
71X45,31304.883,470380.085,1227.012
71X46,38984.512,471466.494,1338.364
71X47,40900.892,474590.57,1237.238
71X48,33939.795,474686.7,1229.891
71Y43,31346.508,448050.128,1260.227892
71Z94,35555.818,474393.567,1260.568835
71Z93,38612.431,455817.573,1260.838912
71Y41,37212.601,454619.842,1259.394342
71Y42,40575.622,454126.524,1258.582729
71Y44,35100.045,450897.336,1257.135208
71Z95,38607.732,455974.038,1257.503349
71X18,31272.38,448123.598,1256.671169
Kyambogo(71Y151),39498.805, 458755.828, 1256.671169
LG01,37250.47,455602.452,1257.18166
LG02,37282.235,455663.529,1255.665732
GEO1,38096.446,454601.008,1254.218347
KDC1,37251.308,455600.808,1253.439924
TR001,32662.174,449504.471,1252.058922
TR002,32668.184,449392.488,1250.916433
TR003,32641.868,449305.372,1250.286904
MB01,36404.337,458041.512,1248.585442
MB02,36555.07,457954.199,1246.779805
RTS658,37436.54,457087.12,1247.65953
MRA,36544.34,458542.47,1246.832598
A1,32741.705,452344.357,1247.788479
